V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
9.99,44.11,39.31,6.89,30.17,35.23,42.27,34.24,2.32,31.07,48.54,3.50,3.86,4.76,9.82,13.06,15.83,8.27,10.81,15.56,14.40,37.16,17.30,11.96,3.61,16.54,17.34,7.53,36.50,13.21,16.08,18.19,3.49,11.68,12.92,19.09,4,0.5526
8.34,16.19,11.44,10.29,34.52,26.43,35.86,29.59,3.84,13.50,50.59,3.71,4.43,3.91,10.72,11.17,25.93,13.06,10.62,7.47,8.37,13.46,15.17,12.38,4.55,4.48,nan,8.21,45.73,12.84,5.44,25.00,4.06,8.66,20.17,13.20,5,0.4731
nan,59.86,37.64,5.79,25.84,32.19,20.79,nan,6.38,19.85,50.01,4.55,nan,2.58,16.74,18.25,23.80,14.81,12.29,14.28,14.60,16.00,9.95,nan,3.84,13.14,16.82,12.19,26.60,10.10,17.43,15.94,5.21,20.44,nan,17.19,4,0.5174
3.28,nan,43.53,9.91,41.15,38.78,23.89,41.97,5.06,45.35,38.48,2.48,3.22,4.31,6.44,7.10,9.57,14.00,16.05,10.18,12.69,46.21,11.53,7.10,5.14,18.55,17.24,17.01,30.89,16.20,21.30,8.18,5.74,12.10,7.43,13.93,5,0.5534
8.54,49.20,19.87,5.67,25.38,29.87,41.35,15.29,4.78,30.47,26.56,4.73,4.81,3.37,13.16,13.84,26.46,12.04,7.98,12.90,9.38,11.16,13.15,5.86,5.14,0.38,7.79,13.98,21.92,11.98,24.94,23.60,5.81,26.52,12.46,22.66,2,0.4881
9.28,16.70,17.78,6.05,26.09,18.00,41.33,31.85,4.03,nan,54.28,4.66,0.68,3.44,9.59,14.96,17.24,12.14,10.09,8.36,9.41,23.59,15.03,11.58,3.85,3.76,11.18,7.76,29.69,nan,5.09,18.04,4.23,6.05,6.92,10.79,5,0.4384
13.83,51.41,29.29,10.48,17.91,35.55,49.23,17.95,3.21,36.90,73.05,4.03,4.12,3.96,7.22,nan,10.06,11.96,14.19,2.96,24.41,19.16,10.27,4.35,3.09,11.34,20.14,11.11,16.58,12.19,17.57,17.19,2.33,12.92,11.32,14.30,1,0.5312
8.66,18.07,54.87,10.27,45.77,17.39,6.99,60.10,2.68,1.62,31.91,3.85,3.50,nan,14.67,9.71,27.82,nan,12.29,18.84,2.62,nan,11.87,12.25,1.00,27.68,10.93,7.26,50.86,15.05,8.82,0.85,3.32,19.67,15.28,3.87,4,0.4762
10.48,53.00,28.85,5.35,23.18,41.34,25.26,21.16,3.55,32.56,46.35,2.72,2.38,3.51,9.72,10.37,19.95,8.31,12.07,9.22,21.92,24.89,12.19,11.59,4.46,12.13,12.69,13.48,45.29,11.62,19.16,15.10,4.26,11.85,10.58,nan,0,0.5292
11.00,36.01,38.45,8.94,23.91,34.55,40.57,20.82,5.18,25.82,43.49,4.74,nan,4.91,7.94,16.77,nan,4.85,11.35,10.10,14.07,27.35,9.76,10.08,4.99,13.41,16.44,9.81,28.79,13.80,17.90,12.45,4.28,19.55,13.34,12.09,1,0.5017
18.02,41.96,40.55,12.01,24.35,31.02,44.66,43.88,3.36,24.04,48.90,3.89,4.53,4.74,9.18,15.82,16.33,8.69,10.59,16.85,17.39,28.59,15.68,5.47,3.13,18.70,10.86,8.36,40.56,14.77,14.65,15.98,4.02,12.06,7.20,17.12,4,0.5471
12.44,66.29,51.60,15.04,15.56,39.34,53.07,46.24,4.62,33.11,58.15,5.25,3.52,2.11,7.74,19.44,13.53,15.54,8.19,nan,8.72,55.50,15.98,9.63,2.93,26.03,23.31,nan,10.76,8.47,26.73,23.10,1.66,12.45,7.21,7.85,2,0.5910
8.77,45.09,nan,6.47,39.52,32.47,43.20,31.85,3.95,39.03,47.02,2.92,3.35,3.49,8.21,14.69,12.05,15.02,14.32,10.51,17.25,26.22,13.31,4.10,5.07,13.60,nan,11.50,nan,19.62,16.28,12.49,2.54,12.24,11.11,22.29,5,0.5444
12.80,53.44,51.14,7.78,5.11,48.66,40.93,21.76,3.51,36.16,59.43,2.75,nan,3.82,8.26,15.56,13.45,1.69,16.39,12.08,15.29,44.49,14.19,10.90,2.05,16.20,nan,9.97,35.99,4.96,23.49,20.47,2.59,13.22,11.08,12.44,1,0.5633
7.92,43.27,26.36,6.48,47.89,30.18,31.71,34.77,4.02,25.38,41.70,nan,2.94,4.65,13.71,16.72,nan,11.32,8.30,12.35,11.29,22.13,11.04,12.32,4.74,14.95,16.56,13.83,35.90,13.22,10.12,12.90,3.95,17.09,16.20,21.56,5,0.5276
17.07,nan,36.55,5.14,14.61,26.56,47.87,31.47,4.29,36.84,57.31,5.35,4.65,2.68,14.94,13.84,11.30,6.61,9.23,12.29,13.78,34.85,12.63,5.37,2.31,9.64,nan,14.92,19.95,8.12,23.67,17.87,1.95,10.69,10.51,13.89,1,0.5212
11.91,60.96,30.63,11.24,28.12,nan,30.63,35.84,3.07,32.47,46.92,3.64,3.99,1.60,6.68,15.99,12.89,13.44,12.46,13.97,18.10,31.92,14.23,10.63,5.26,12.69,15.55,16.99,32.43,8.34,14.28,13.29,2.93,13.94,8.71,15.40,0,0.5466
13.49,9.71,19.77,9.31,24.70,0.00,26.69,48.07,4.10,17.10,55.98,1.89,3.38,4.97,nan,7.49,22.65,14.55,4.72,8.21,nan,11.30,6.13,8.23,1.75,6.55,14.36,8.60,35.02,16.63,6.42,18.46,4.18,6.60,2.84,9.69,5,0.3969
17.18,43.94,32.73,8.51,40.84,21.70,34.61,37.82,4.44,19.75,46.64,4.33,5.05,1.70,15.68,14.43,15.85,10.02,11.06,14.16,16.92,10.58,13.32,8.81,2.96,10.60,9.48,nan,39.82,12.86,11.76,11.03,1.90,17.76,7.17,20.57,5,0.5150
3.84,47.36,62.30,14.40,19.31,nan,25.27,56.41,0.67,31.48,88.63,2.91,5.31,5.81,4.64,12.26,3.46,13.49,16.93,12.55,9.72,62.14,10.09,9.73,3.81,29.90,14.75,10.34,44.32,0.00,9.88,27.16,3.59,10.01,10.80,2.41,0,0.6041
16.43,50.67,nan,13.40,26.97,38.78,40.48,43.05,3.51,25.28,48.26,nan,3.27,2.34,7.87,17.70,16.75,10.20,11.94,16.36,12.83,32.18,15.62,11.39,5.05,18.45,15.58,10.40,38.61,9.44,14.21,16.84,0.23,12.45,8.78,17.35,5,0.5607
9.90,68.88,35.08,10.23,28.29,42.18,28.40,35.94,4.54,27.11,42.05,6.12,5.20,4.08,15.11,16.79,21.38,12.69,10.18,14.75,18.19,22.87,12.03,9.14,3.32,15.38,18.46,16.01,32.12,11.82,21.09,17.81,3.38,15.02,8.66,21.21,4,0.5667
10.51,68.75,27.68,6.10,nan,51.07,34.41,17.26,2.44,38.49,56.13,5.28,2.82,4.08,13.85,18.30,17.95,7.57,14.81,8.37,22.40,nan,nan,9.75,3.00,10.77,16.74,16.86,32.03,9.10,19.78,18.80,2.69,12.02,9.76,17.82,0,0.5614
12.17,46.27,34.05,11.05,25.16,37.36,37.79,31.53,4.06,25.85,45.98,2.28,4.53,4.39,9.42,16.61,17.84,9.65,12.01,12.04,14.61,25.51,12.38,7.66,4.85,13.11,10.90,11.96,33.12,10.78,16.52,16.15,4.36,16.17,11.21,15.53,1,0.5264
10.31,40.54,37.60,11.00,21.91,31.43,52.67,36.29,4.42,27.16,49.83,nan,4.87,2.07,9.87,17.71,20.06,6.61,7.46,nan,12.48,34.65,21.86,8.46,5.38,17.17,18.51,2.33,17.49,11.30,12.90,18.58,4.48,19.88,10.66,15.61,3,0.5120
14.24,49.59,50.31,7.14,38.34,26.36,62.33,23.26,4.53,32.96,39.86,3.02,nan,3.69,9.80,15.39,3.36,8.49,11.64,16.92,9.84,33.27,15.79,15.26,1.72,5.81,18.78,6.13,16.28,12.83,25.09,16.71,2.09,21.46,7.45,19.24,3,0.5471
14.79,55.66,34.39,12.75,22.73,nan,25.91,35.93,2.65,15.33,42.31,3.41,1.85,4.99,8.10,14.97,24.83,14.50,9.79,18.18,16.97,13.06,nan,9.75,4.66,13.41,18.43,12.33,32.25,8.42,16.79,15.82,2.67,20.97,13.06,16.17,4,0.5173
11.46,45.47,nan,11.19,33.22,36.87,nan,23.30,2.78,36.31,39.22,4.24,3.38,1.66,7.37,17.07,17.32,8.10,9.54,8.35,10.77,24.48,10.55,11.17,3.84,10.72,25.22,16.12,20.47,11.56,16.09,12.70,3.02,19.02,13.72,17.39,1,0.5109
10.42,31.32,32.69,6.63,nan,32.56,51.00,34.61,2.90,29.61,47.42,2.19,3.53,3.40,12.35,20.25,13.60,4.32,9.40,12.83,8.86,36.71,14.03,4.20,4.29,12.67,9.11,9.41,27.32,nan,12.38,15.26,4.52,14.36,14.29,16.41,1,0.5013
nan,45.61,31.80,8.55,22.84,33.19,21.04,33.34,3.92,26.21,41.12,2.46,1.97,3.04,10.83,8.11,20.07,8.71,10.57,14.87,17.84,23.10,11.39,8.52,1.41,8.97,13.85,13.47,40.40,10.26,16.74,15.64,2.93,15.01,9.59,15.87,4,0.4908
7.63,44.76,52.71,7.35,16.62,33.75,52.15,24.46,4.57,36.80,33.33,2.70,4.06,4.91,7.12,nan,12.35,5.98,10.40,21.59,8.40,35.89,9.99,7.56,5.62,10.29,21.13,9.77,22.57,17.91,24.53,24.91,4.83,25.12,4.36,18.61,3,0.5322
nan,40.67,43.47,5.98,nan,26.47,39.34,29.08,4.81,17.05,51.72,1.75,2.64,4.63,nan,14.25,16.24,6.30,12.30,16.90,20.12,17.41,13.00,11.16,3.08,11.54,14.84,4.87,40.73,12.89,16.25,13.38,1.47,14.16,10.89,18.33,0,0.5148
16.23,32.19,48.66,2.80,26.88,14.10,17.84,47.96,1.58,17.94,nan,2.28,4.02,4.76,12.43,8.56,25.59,5.48,8.17,nan,12.29,34.37,17.20,5.41,2.96,nan,nan,9.97,55.26,14.00,14.41,6.41,3.22,26.71,8.10,10.37,4,0.4889
13.88,40.37,43.27,5.58,27.97,nan,36.31,50.89,5.79,21.25,65.55,1.76,2.67,4.94,14.66,13.87,11.43,15.52,6.82,18.25,11.94,32.44,9.11,9.17,2.92,17.39,22.29,12.76,35.76,nan,13.43,22.77,2.01,9.10,9.08,10.73,2,0.5276
15.08,12.48,33.23,9.20,43.13,17.28,29.92,46.24,nan,17.42,46.79,4.69,1.21,4.12,10.84,10.98,22.14,2.68,7.47,14.46,8.65,26.06,14.20,9.72,2.82,23.43,9.63,8.19,57.85,12.77,1.37,10.91,2.76,19.72,15.72,14.08,4,0.4955
12.23,38.22,31.05,10.28,40.54,29.37,24.95,37.72,4.58,28.04,48.08,5.38,2.98,4.44,8.39,10.09,11.86,8.90,12.71,13.88,19.06,18.45,9.53,6.15,3.75,12.72,10.50,15.02,48.55,11.08,7.75,11.18,2.95,18.53,11.74,18.37,0,0.5234
9.83,nan,36.26,9.66,13.40,45.26,34.82,24.19,4.01,25.60,40.49,nan,5.40,3.59,8.80,18.62,22.80,5.69,10.51,14.03,19.02,28.75,13.51,8.94,4.02,15.38,10.81,10.91,38.26,14.00,18.24,18.31,3.71,17.68,8.34,15.51,2,0.5264
13.17,38.63,30.67,7.75,19.74,31.38,34.34,35.77,2.37,32.39,49.99,5.86,2.03,4.89,10.31,13.94,17.54,7.59,10.49,11.16,18.53,23.48,9.37,nan,4.93,14.02,11.71,12.13,nan,14.56,14.70,nan,4.53,10.41,6.62,19.71,5,0.5079
12.28,56.77,45.76,8.65,17.00,37.05,32.25,40.49,3.91,30.28,41.95,3.27,nan,3.62,7.71,13.99,17.98,10.41,10.58,16.25,14.77,44.31,16.93,10.35,2.94,19.43,nan,9.62,26.78,9.81,21.69,10.08,3.87,14.13,5.10,12.13,5,0.5297
6.78,46.04,43.75,9.22,35.38,38.67,22.63,49.52,5.03,27.50,38.39,4.00,4.77,1.25,16.49,15.28,18.23,4.36,14.90,22.45,10.85,30.03,17.15,10.50,1.88,13.89,20.40,10.76,42.99,11.54,8.11,13.07,4.95,13.88,6.71,22.02,1,0.5370
9.30,43.47,53.46,8.33,35.35,12.44,27.01,61.29,2.58,31.48,88.12,4.62,3.42,3.62,12.24,10.49,8.64,18.07,12.54,10.52,nan,42.53,13.80,10.91,4.62,28.94,21.72,5.47,32.56,8.60,nan,18.24,1.96,nan,1.93,9.48,0,0.5536
14.53,46.18,40.52,10.67,9.64,43.14,nan,35.86,4.19,26.91,43.16,2.41,2.31,5.06,7.93,17.66,20.87,4.66,11.15,13.43,14.23,36.79,12.31,7.88,2.25,17.41,17.41,9.93,31.79,8.50,19.23,11.29,2.53,10.35,9.07,13.97,5,0.5115
12.96,31.23,33.77,7.00,9.99,25.04,23.70,37.54,5.12,14.15,52.12,4.43,2.01,4.38,11.15,nan,nan,8.83,12.35,17.98,15.41,15.34,nan,4.59,4.93,6.97,15.31,nan,34.85,8.36,11.00,14.11,2.70,12.84,13.75,12.18,1,0.4491
11.57,55.56,26.53,10.66,21.86,34.80,36.78,15.40,5.46,21.78,42.36,nan,5.00,4.52,8.93,9.32,26.22,14.20,9.10,10.16,23.32,7.63,nan,10.30,4.46,7.88,4.21,7.59,35.86,14.06,24.39,24.87,2.72,21.03,9.05,20.45,3,0.5244
6.47,48.62,25.24,2.63,25.64,26.55,35.98,14.91,4.65,30.42,31.42,3.72,4.09,3.96,12.31,18.59,30.48,17.91,11.99,11.85,3.89,12.05,13.71,10.00,3.78,5.15,7.84,12.94,24.85,18.30,23.02,nan,2.97,26.93,7.67,20.09,2,0.4983
10.22,23.55,47.72,4.79,28.14,8.09,33.20,48.25,4.16,29.42,72.77,5.30,4.22,2.93,9.49,nan,10.20,9.77,6.31,12.35,nan,44.27,9.37,12.44,3.52,21.37,22.58,5.28,37.20,7.47,10.88,20.53,1.17,12.87,nan,9.32,0,0.4994
12.33,34.14,40.94,10.14,21.08,28.10,34.95,33.81,3.71,nan,46.03,3.38,2.09,4.19,6.53,13.19,16.45,8.68,11.99,16.54,16.47,24.61,10.91,5.77,nan,13.09,13.25,9.11,35.51,14.64,14.75,14.81,2.95,18.40,nan,12.09,2,0.4952
5.69,32.18,43.79,10.76,27.74,21.46,60.24,25.10,4.40,33.15,36.09,3.97,4.14,3.13,9.47,18.48,11.75,8.84,8.96,nan,7.89,20.87,9.24,5.54,nan,4.37,nan,5.73,4.60,nan,20.92,23.01,3.88,24.86,4.12,18.25,3,0.4811
9.09,51.45,38.68,9.05,31.84,32.31,28.46,29.36,3.35,25.02,55.34,4.82,4.68,2.88,13.91,11.90,16.23,9.76,12.47,10.40,17.06,21.29,11.68,nan,3.73,12.45,17.97,10.27,33.40,9.92,16.50,16.66,2.99,16.77,9.74,15.90,4,0.5290
5.98,55.65,nan,8.89,19.67,54.58,37.71,32.84,3.67,37.77,31.48,2.37,3.95,2.55,9.16,16.15,16.30,4.10,6.50,15.33,14.50,45.51,8.21,7.75,3.13,14.56,19.87,17.31,35.02,8.81,23.08,19.30,4.20,7.90,14.89,22.89,1,0.5532
13.64,23.03,46.81,5.45,34.80,13.46,27.37,45.18,3.87,16.83,35.69,4.68,3.71,nan,10.90,nan,25.03,5.32,9.15,21.14,9.47,30.67,20.30,11.06,2.22,21.65,11.99,2.16,44.01,15.20,10.41,6.37,2.00,24.24,9.67,12.51,4,0.4781
7.79,48.93,32.44,8.08,21.24,39.77,32.34,25.02,2.23,29.21,40.83,3.84,3.89,2.76,11.11,15.56,nan,5.21,9.16,12.66,16.79,30.04,13.52,13.04,3.20,9.61,16.50,nan,31.18,11.33,16.27,15.42,3.01,16.09,6.68,15.70,4,0.4971
nan,59.38,29.99,12.77,25.90,42.67,42.22,29.34,3.13,29.27,46.98,2.98,3.24,4.76,8.99,20.71,22.74,15.06,10.69,12.22,11.73,22.28,13.32,12.12,4.24,13.66,22.42,12.00,21.32,12.15,17.90,23.44,4.86,15.91,11.52,20.31,0,0.5567
11.39,46.73,54.81,nan,25.19,41.24,65.82,32.48,2.60,35.92,23.73,4.86,2.33,3.06,8.13,18.35,9.26,0.13,6.83,21.16,4.48,47.12,13.75,11.46,3.46,11.98,23.74,8.44,18.20,12.38,27.60,22.95,3.59,21.02,6.26,19.84,3,0.5574
10.48,58.83,43.67,11.79,nan,39.45,24.11,41.00,4.00,21.55,48.52,4.82,5.45,1.85,11.31,13.93,19.52,12.62,13.64,14.95,19.06,24.38,10.39,6.19,3.32,16.43,17.53,10.80,28.68,nan,19.91,11.54,3.28,13.74,10.83,15.75,4,0.5335
9.72,48.57,34.48,11.63,28.06,41.48,43.75,nan,4.11,28.51,48.49,5.20,4.27,3.85,5.70,16.85,12.45,10.67,11.36,11.75,20.82,24.75,9.46,7.26,5.51,12.89,14.01,10.84,28.99,13.33,17.17,16.75,nan,15.76,14.00,18.33,4,0.5441
8.39,43.35,46.81,12.64,40.18,28.54,20.11,40.64,3.70,14.26,31.31,5.76,2.25,5.56,19.59,13.80,20.97,7.05,13.88,nan,12.21,6.48,6.17,nan,2.85,9.84,14.66,11.22,37.79,16.11,17.27,11.79,3.77,21.09,5.01,19.82,1,0.5022
17.32,54.54,37.07,12.91,37.39,28.11,43.52,26.88,4.62,13.99,45.99,5.06,1.73,2.78,9.00,18.91,19.45,19.89,13.08,9.17,nan,8.96,9.38,12.68,3.18,13.17,17.04,9.92,18.06,16.39,22.89,11.39,3.21,17.51,14.02,14.11,4,0.5376
2.30,39.84,43.40,11.47,29.34,44.48,20.46,29.03,4.57,28.23,27.12,4.84,1.85,nan,9.32,7.42,25.52,7.85,20.46,15.52,15.90,14.00,13.46,nan,2.70,8.19,10.62,4.84,41.19,nan,19.74,14.23,1.53,16.42,7.83,24.36,3,0.5111
11.50,nan,37.19,5.93,7.94,42.18,32.28,14.80,5.02,37.88,57.98,4.45,5.35,4.70,6.04,12.59,17.10,5.47,18.01,9.85,20.17,26.71,10.71,8.36,nan,10.81,20.05,13.03,42.79,14.48,18.96,20.23,2.73,11.35,11.37,14.21,1,0.5350
15.38,48.54,28.06,4.84,16.67,33.53,35.87,42.22,2.01,33.67,32.61,4.11,4.26,2.27,4.62,17.33,16.93,11.57,5.60,18.85,nan,44.47,13.28,7.61,3.08,14.11,15.18,16.46,30.91,9.28,16.82,9.61,2.09,10.45,8.78,15.91,2,0.4999
14.78,41.60,38.37,10.07,22.68,29.28,41.32,31.62,4.89,24.43,54.74,3.11,4.16,1.65,5.51,12.81,14.12,nan,11.43,12.74,17.59,26.69,13.55,nan,1.74,13.06,15.14,5.66,26.91,8.88,15.83,12.76,4.71,15.56,11.58,13.69,1,0.5066
11.17,52.55,31.92,9.08,22.08,44.03,23.13,30.53,4.18,29.37,40.80,4.43,2.58,4.67,11.48,8.48,19.31,5.78,13.57,14.93,21.42,26.12,13.72,5.52,1.99,10.70,11.10,16.57,46.57,8.25,18.91,14.97,1.06,13.84,14.62,17.30,4,0.5342
12.87,47.91,35.64,13.97,30.78,42.94,42.56,27.28,3.62,27.12,35.10,3.28,3.19,1.44,12.75,21.23,21.85,7.61,15.46,9.49,9.79,19.80,11.77,8.51,4.04,12.78,19.00,14.70,25.26,16.69,20.63,13.28,3.10,15.85,11.82,16.35,1,0.5373
8.33,41.14,21.57,9.78,10.35,36.86,33.68,20.91,4.45,nan,27.21,4.22,4.34,3.69,6.72,17.20,28.67,9.49,6.62,16.24,8.86,14.26,8.00,3.47,4.37,3.35,3.76,14.03,nan,6.13,18.89,25.14,2.87,28.44,13.44,18.59,2,0.4635
9.56,36.10,34.56,12.31,32.23,28.66,32.01,31.15,5.75,22.43,54.59,3.33,4.53,4.67,13.11,7.28,11.80,5.61,11.51,12.24,20.16,23.96,13.28,8.84,3.50,9.13,nan,13.37,39.55,12.58,12.66,18.60,3.02,16.50,13.94,7.98,0,0.5083
16.69,55.82,18.91,13.44,24.51,45.81,56.18,25.15,3.47,nan,23.65,4.28,2.48,3.26,3.87,22.15,20.91,11.43,6.22,10.09,8.64,nan,14.48,12.28,4.08,8.05,23.42,14.03,1.64,nan,23.82,7.18,1.66,12.83,17.30,17.40,1,0.5027
12.71,nan,nan,5.05,nan,24.71,39.11,35.54,4.19,nan,50.11,1.67,5.19,4.10,11.71,15.26,16.44,7.04,7.41,14.55,12.10,29.81,11.51,11.53,4.00,17.20,18.19,8.78,39.66,13.44,13.36,17.12,1.26,15.14,8.81,19.93,3,0.5221
9.33,51.82,44.07,10.36,41.34,38.77,14.88,41.81,3.56,30.58,30.35,2.16,4.85,3.27,9.00,6.32,nan,11.70,16.46,17.86,12.17,36.29,14.14,11.54,2.95,16.82,6.91,20.04,59.87,14.04,18.89,15.11,2.58,17.38,8.97,13.93,5,0.5762
12.22,44.43,37.19,12.36,nan,29.87,25.25,47.51,2.13,18.33,50.67,4.59,2.46,2.68,14.07,12.11,20.91,12.36,9.86,13.19,14.24,nan,7.80,nan,3.47,15.88,17.04,11.88,43.58,13.38,15.43,19.11,4.45,6.28,7.93,17.15,3,0.5277
16.03,56.05,27.34,9.49,32.76,38.11,39.68,17.86,4.47,30.23,43.53,5.41,3.27,1.96,nan,17.64,20.88,nan,14.67,9.47,18.68,13.00,15.03,13.00,3.69,nan,19.84,13.01,28.83,16.11,18.00,11.71,3.99,nan,12.17,19.63,4,0.5481
13.57,64.36,33.07,11.22,17.81,48.80,38.05,21.68,3.30,26.22,45.13,3.96,nan,3.55,9.20,18.71,19.93,8.75,11.21,12.63,19.89,24.01,13.14,14.67,2.58,11.21,21.74,12.66,nan,9.06,nan,17.63,3.96,13.20,11.33,18.41,4,0.5513
10.38,42.22,33.81,9.34,40.94,40.49,28.82,28.42,2.37,30.36,33.93,3.31,nan,1.72,11.75,14.94,19.42,6.89,15.91,9.36,7.75,28.31,11.99,13.20,5.18,13.77,15.42,17.55,42.20,nan,16.66,10.62,2.97,15.20,14.54,15.48,5,0.5390
11.17,48.51,30.38,7.61,36.54,28.04,29.07,38.75,1.57,33.39,nan,4.80,4.04,3.52,9.70,9.91,15.32,11.09,9.16,14.54,18.31,30.90,14.46,5.19,3.09,17.79,19.23,16.35,31.64,11.28,13.56,9.38,1.80,19.34,15.55,14.77,2,0.5256
nan,nan,37.38,12.77,26.60,38.64,27.51,36.93,5.14,23.36,43.28,2.76,3.80,3.59,8.46,12.40,15.35,7.08,nan,11.72,14.14,31.08,12.22,10.86,4.72,11.86,12.21,12.22,37.26,8.25,14.51,9.21,4.00,11.87,10.32,10.44,2,0.5041
7.28,47.98,47.15,10.18,26.14,31.43,23.32,36.79,2.97,22.64,50.92,3.77,4.84,4.46,9.76,10.30,16.27,12.00,13.54,15.66,15.46,29.03,12.35,13.45,3.75,13.97,17.41,8.68,35.59,12.09,16.56,nan,5.79,16.33,6.76,11.41,4,0.5228
7.62,52.47,43.54,10.96,29.90,38.88,28.10,50.10,4.15,nan,35.63,3.81,2.44,3.75,7.71,11.53,14.98,11.46,9.78,14.72,13.27,45.43,12.51,7.36,2.28,20.49,nan,11.35,30.42,11.14,19.87,nan,2.04,10.66,4.78,17.14,5,0.5314
10.32,52.09,41.97,5.28,12.96,33.12,30.00,22.27,3.53,25.16,56.87,4.18,2.33,2.63,12.64,18.16,19.78,6.33,13.14,19.48,25.00,10.20,11.94,5.86,2.16,11.83,17.10,8.06,39.85,14.60,12.98,21.79,1.14,24.90,5.60,21.30,4,0.5202
10.26,11.81,50.37,9.42,40.99,20.71,18.14,42.78,5.29,15.46,nan,4.17,3.54,3.89,11.49,11.60,26.06,2.48,14.45,13.59,4.06,26.96,11.01,12.05,2.45,27.37,14.74,7.33,57.96,17.48,6.10,9.10,4.67,22.83,14.04,8.86,4,0.5033
12.35,54.67,25.04,7.12,38.52,40.82,44.09,30.12,2.05,45.69,48.37,2.66,5.10,nan,9.52,14.00,6.77,8.46,nan,10.80,17.61,43.69,22.71,12.06,nan,12.17,11.37,18.11,38.43,12.76,12.56,14.29,3.58,11.09,7.94,16.32,1,0.5695
11.16,48.59,32.76,8.97,34.27,27.05,35.48,17.08,1.20,30.43,42.47,6.16,2.84,2.59,nan,6.00,19.31,12.56,10.64,10.67,nan,5.52,10.79,nan,6.50,9.10,11.76,7.76,38.69,18.53,22.39,20.46,3.32,23.03,6.71,24.87,3,0.5283
13.98,47.50,34.68,9.67,nan,24.31,19.11,37.48,3.07,13.32,nan,nan,5.59,1.57,14.64,13.59,19.20,10.36,10.14,9.75,20.14,10.56,9.07,9.09,5.19,15.29,8.99,8.14,40.56,nan,8.27,14.19,3.62,20.29,7.97,14.21,5,0.4911
9.41,68.92,31.58,7.77,29.66,36.77,40.03,44.95,4.88,29.69,51.69,4.72,1.47,3.21,15.54,nan,11.22,12.84,2.62,16.28,19.11,38.77,12.26,6.72,4.68,16.24,17.29,15.70,23.15,5.16,18.59,18.63,3.56,11.67,12.07,20.72,1,0.5580
12.83,45.42,33.51,13.25,36.16,39.22,34.24,25.83,3.54,36.10,40.92,4.53,2.70,3.48,3.72,5.86,nan,6.42,12.76,10.58,19.70,31.66,16.44,13.97,3.51,13.87,17.89,13.41,41.28,12.98,16.88,12.22,1.63,16.77,11.26,14.25,1,0.5448
8.81,59.64,34.03,8.56,24.08,36.77,33.75,30.85,5.25,35.29,52.01,5.96,4.09,2.76,12.30,13.92,18.97,11.26,11.47,12.68,17.12,25.48,14.86,6.63,3.26,14.16,18.11,12.59,27.19,9.92,18.63,19.69,0.84,18.96,8.80,19.63,4,0.5453
14.17,60.60,30.40,8.48,13.63,43.57,35.04,22.28,5.48,30.28,48.30,3.60,3.94,3.28,11.17,17.70,26.70,nan,11.43,11.69,18.63,22.82,15.65,12.84,3.69,15.10,23.23,13.32,34.76,14.12,20.56,20.52,4.54,12.36,9.33,18.36,0,0.5522
13.52,52.41,37.28,14.99,45.57,40.80,40.17,46.97,2.38,30.63,39.84,2.73,4.11,5.06,11.68,17.16,15.03,nan,11.64,16.15,11.70,30.33,18.48,12.01,3.64,18.78,16.83,11.37,38.49,10.21,10.20,12.87,3.01,15.84,7.39,23.67,1,0.5788
nan,nan,20.65,10.38,22.62,25.49,34.14,33.26,2.93,16.64,54.99,4.35,3.55,3.35,11.36,11.68,23.76,12.35,10.27,7.96,9.58,17.74,13.59,9.08,3.81,4.92,4.12,nan,31.75,9.88,9.00,22.69,1.77,10.26,13.14,11.76,5,0.4475
9.68,48.62,40.59,11.67,47.36,24.56,29.66,44.68,5.77,26.25,59.08,1.53,2.10,4.11,12.21,8.11,11.89,13.86,11.37,nan,nan,18.05,10.41,6.87,2.92,18.23,17.63,9.21,35.32,10.57,12.41,14.75,3.37,18.58,12.43,21.19,1,0.5514
12.57,51.13,23.67,11.81,33.92,38.59,40.83,30.74,2.84,33.27,43.49,4.17,3.05,3.83,10.44,16.48,19.30,9.70,9.91,7.47,11.05,26.68,nan,11.09,3.47,12.71,24.95,14.60,17.44,8.27,16.61,10.51,4.30,13.58,15.43,17.56,1,0.5223
12.08,52.70,47.41,13.18,29.53,32.35,32.43,28.22,4.31,20.85,65.52,5.37,2.21,4.40,11.60,10.98,16.53,12.13,17.66,10.98,21.72,nan,14.53,11.81,2.27,15.43,18.16,6.19,34.28,13.30,17.28,nan,3.82,18.47,9.95,13.17,1,0.5601
12.50,63.22,30.37,11.12,34.24,42.82,33.09,21.04,3.62,21.06,37.70,1.39,4.14,1.43,nan,17.61,23.49,12.96,13.38,13.84,18.29,14.79,16.91,16.30,1.92,11.08,18.75,12.90,28.91,12.59,18.20,13.46,2.29,20.77,14.63,nan,4,0.5455
9.22,40.01,43.33,10.86,0.79,43.21,31.32,45.13,4.75,32.54,40.93,3.91,nan,1.97,2.90,17.94,15.91,6.52,10.66,17.54,11.22,45.42,nan,1.69,2.12,15.32,15.22,11.33,29.04,7.00,17.01,13.30,3.66,10.04,5.32,13.22,5,0.4849
